HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
3,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia,laminata,Escarpia laminata,,,,,,,,,,,,300,1466,wild,medium,acceptable,,,,,,1466
5,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia,luymesi,Lamellibrachia luymesi,,,,,,,,,,,,250,652,wild,small,acceptable,,,,,,652
6,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Seepiophila,jonesi,Seepiophila jonesi,,,,,,,,,,,,300,1467,wild,small,acceptable,,,,,,1467
8,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hasselti,Australian redback spider,,,,,,,,,,,,,,unknown,medium,low,,,,,,1455
9,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,,,,,,,,,,,,0.19,,unknown,medium,acceptable,,,,,,"1,29,41,29,51,296"
11,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7,7,,,,,,,,,,0.3,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,24,00,00,00,00,00,00,00,00,00,00,000"
12,Animalia,Arthropoda,Insecta,Diptera,Neriidae,Telostylinus,angusticollis,Telostylinus angusticollis,,,,,,,,,,,,0.05,1442,wild,medium,acceptable,,,,,,1442
13,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,capitata,Mediterranean fruit fly,,,,,,,,,,,,0.49,1447,captivity,large,acceptable,,,,,,1447
14,Animalia,:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uArthropoda,Insecta,Hemiptera,Pseudococcidae,Maconellicoccus,hirsutus,Mealybug,,,,,,,,,,,,0.08,1449,captivity,small,acceptable,,,,,,1449,,
15,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,,,,,,,,,,,,8,812,unknown,medium,acceptable,,,,,,"63,40,74,08,74,18,05,80,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
16,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,terrestris,Buff tailed bumblebee,,,,,,,,,,,,0.27,1444,captivity,small,acceptable,,,,,,1444
18,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,,,,,,,,,,,,0.5,1293,captivity,medium,acceptable,,,,,,1293
19,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,,,,,,,,,,,,28,411,unknown,medium,acceptable,,,,,,"41,18,13,81,41,364"
20,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,,,,,,,,,,,,0.4,1156,captivity,medium,questionable,,,,,,1156
21,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15,15,,,,,,,,,,0.5,811,wild,medium,acceptable,,,,,,"41,88,09,811"
22,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Teleogryllus,commodus,Black field cricket,,,,,,,,,,,,,,unknown,medium,low,,,,,,1443
23,Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae,Romalea,microptera,Eastern lubber grasshopper,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1,46,01,461"
24,Animalia,Arthropoda,Insecta,Phasmatodea,Lonchodidae,Carausius,morosus,Indian stick insect,,,,,,,,,,,,,,unknown,medium,low,,,,,,1441
25,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,,,,,,,,,,,,100,2,wild,medium,acceptable,,,,,,"2,13,594"
27,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,mexicanus,Mexican tetra,,,,,,,,,,,,15,1427,captivity,small,acceptable,,,,,,1427
28,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Heterandria,formosa,Least killifish,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1,45,31,454"
29,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,eleginoides,Patagonian toothfish,,,,,,,,,,,,50,1456,unknown,medium,acceptable,,,,,,1456
30,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,scaber,Smooth leatherjacket,559,555,,,,,,,,,,17.1,1422,wild,medium,acceptable,,,,,,1422
32,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,truei,Coastal tailed frog,,,32,,62,,,,,,,14,525,wild,medium,acceptable,,,,,,"5,25,749"
